"Structure [idcode]","Molecule Name","cas.rn","molecular.formula","molecular.weight","Dataset Name","Ref","Ref 2","BBDD","CSD","Code","Calculations","cas.index.name"
"elV\@D@@odPO@SprRJJJIIJI[QQEII[EKRJqJZ{Yzh@h@j@@`BBj@@@@ !B[Nbw@oy?@EFmLK]}?`BH_[]}[NalzK\BmpH@Koy?mpJmLOx@[N^RLHc}m?vw_P@n@B{~_?y?mpJRLK]}mwvw@k]}mpH","N1-(2-Aminoethyl)-N2-[2,2-bis(diphenylphosphino)ethyl]-1,2-ethanediamine","148763-07-9","C30H35N3P2","499.57","monosubstituted C-bridge","-","Zeitschrift fuer Anorganische und Allgemeine Chemie (1993), 619(5), 869-76<NL>","","0 structures","MS-40","Opt, SPE, NoRh",""
"elZT@D@HD@O@SprRJJJQIIQQQsIIQQ[\[yXFzFjjjjj@@@BHB@@@@ !B?bHrNW|SSTXrQcIF?etS@LkSt}W~HoxbLcdrNUw~QcHySRK~ST[~WSdrNTuFSTYMSSeMNUw~QcI]?dYMHo{~WSeMW_x","N,N,N′,N′-Tetraethyl-P-[[methyl(2,4,6-trimethylphenyl)phosphino]diphenylmethy...","1004312-84-8","C31H44N2P2","506.64","disubstituted","https://cdnsciencepub.com/doi/10.1139/v07-121","Canadian Journal of Chemistry (2007), 85(12), 1045-1052","","KIRZIV (free ligand)","DS-19","Opt, SPE",""
"el^P@D@@O@SprRJJJIIJI[QQPiII[WRJqI[xxEzFh@d@j@@@@@B@@@@ !B?g|`^k_|bOvw?ZR[^bC~@K_}?g?~_rAzHGhSzJRdm?rw?Wh`dcA?TPT`H@W~@K_}D~`SzJRdiJRw@k_|_uD`A[_}mpH","","2345625-31-0","C33H28P2","486.52","monosubstituted","https://www.nature.com/articles/s41929-021-00661-7<NL>https://www.nature.com/articles/s41586-019-0926-8","Nature Catalysis (2021), 4(8), 703-710<NL>Nature (London, United Kingdom) (2019), 567(7748), 373-378","","0 structures","DS-20","Opt, SPE, NoRh",""
"el^PHD@@`O@SprRJJJIIJJKZJZEIIK[QJsKXFzGyFh@h@i`@@@@@@@@@ !B@B{~_{\BdcAlyxc}m?w~@K_}@Bx@Koy??g~w@jRd?g}?Kfsgm?w~@K_}AR@`AQOgkSBw?K\BiJRdiG|n_rzw?R@EkS@","2,2-Bis(diphenylphosphino)-1-phenylethanone","91381-27-0","C32H26OP2","488.50","monosubstituted","https://pubs.rsc.org/en/content/articlelanding/1984/dt/dt9840000863","Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972-1999) (1984), (5), 863-7","","0 structures","MS-41","Opt, SPE, NoRh",""
"el^X@D@@`O@SprRJJJIIJI[QQEIJKYGRJqJY{[zEFh@d@i@@`@@@@@@@ !B@B{~_{\BdcAlyxc}m?w~@K_}@Bx@Koy??g}lzK\Bm?uly{_}@EFmLOx@m?vw@fsh[Nbw?K\B?`Bw?Ztpm?vw@k\Bm?t","N-[2,2-Bis(diphenylphosphino)ethenylidene]benzenamine","213920-86-6","C32H25NP2","485.50","monosubstituted","https://pubs.rsc.org/en/content/articlelanding/2011/cc/c0cc05025c<NL>https://pubs.rsc.org/en/content/articlelanding/2009/dt/b903375k<NL>https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/1521-3765(20020902)8:17%3C3872::AID-CHEM3872%3E3.0.CO;2-0<NL>https://pubs.acs.org/doi/10.1021/om980448x","Chemical Communications (Cambridge, United Kingdom) (2011), 47(14), 4270-4272<NL>Dalton Transactions (2009), (42), 9280-9290<NL>Chemistry - A European Journal (2002), 8(17), 3872-3878<NL>Angewandte Chemie, International Edition (2000), 39(10), 1821-1823<NL>Organometallics (1998), 17(18), 3835-3837","","OGIXIM (Ag, cluster)","DS-21","Opt, SPE, NoRh",""
"ebQP@D@@OCcpJHaHaHRhRDaHaHaDQAcHqDQLL\zVfN~Qaqjjjh@jj@@@@B@@@@ !BdHjQ_snTbj~PbkVPbGtWx{}Ib@K~_q}Zqm}}mwvH@k^H@gvH_?{~_pC~Nzl{jw?~_?{Fwq}Z?Xc}msnkNzm??g?~Gui}mp","(3S,4R,11bS)-3-[Bis(1,1-dimethylethyl)phosphino]-4-(1,1-dimethylethyl)-4,5-di...","1047679-94-6","C34H42P2","512.65","monosubstituted C-bridge","https://www.sciencedirect.com/science/article/abs/pii/S004040200800673X?via%3Dihub","Tetrahedron (2008), 64(29), 6943-6948","","0 structures","MS-42","Opt, SPE, NoRh",""
"ebQPHD@@`O@SprRJJJIIJJKZJZEIIKZzIVY[@wPHu@E@EL@@@@@D@@@@ !B@B{~_{\BdcAlyxc}m?w~@K_}@Bx@Koy??g~H@ind?g}?Kfsgm?w~@Hc}^bA_AQOgkSBH?H`BfzR[iG|n_rzH?U|EkSA?K`","2,2-Bis(diphenylphosphino)-1-(4-methylphenyl)ethanone","91381-28-1","C33H28OP2","502.52","monosubstituted","https://pubs.rsc.org/en/content/articlelanding/1984/dt/dt9840000863<NL>","Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972-1999) (1984), (5), 863-7<NL>","","0 structures","MS-44","Opt, SPE, NoRh",""
"ebQPHD@DPO@SprRJJJIIJI[QQPiII[UZQVIK_G@oPu@D`EP@@@@@T@@@@ !B@B{~_{\B[N^RLHc}m?w~@K_}@Bx@Koy??g|SzJRdmpJRLK_}dcA?TR@EARC~@K_}D~`SzJRdiJRw@k\B_uDEHK_}mpJw?P","1,1′-[2-(4-Methoxyphenyl)ethenylidene]bis[1,1-diphenylphosphine]","851178-56-8","C33H28OP2","502.52","monosubstituted","https://www.nature.com/articles/s41586-019-0926-8<NL>https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2005-863714","Nature (London, United Kingdom) (2019), 567(7748), 373-378<NL>Synlett (2005), (4), 658-660","","0 structures","DS-22","Opt, SPE, NoRh",""
"ebQPHD@N`O@SprRJJJIIJI[QQPiKQ[HzQVIK_G@hxu@E@EP@C@@@@@@@@ !BD~bdiOy?_uFRLB@EARBH?[_}D~`SzJRdiJP@Koy?mpJRL@T`dcAlyxc}m?w~@K_}@Bx@Koy??g~w@oy?[N^w?[_}m?w~_p","3,3-Bis(diphenylphosphino)-1-phenyl-1-propanone","2243981-32-8","C33H28OP2","502.52","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446","","OFEHOZ (free ligand)","MS-45","Opt, SPE, NoRh",""
"ebQX@D@@`O@SprRJJJIIJJKZJJiIQ[HzIVYK_G@hxu@D`ET@A@@@@@@@@ !B@B{~_{\BdcAly{]}bGw~@K]}@Bx@Koy??g}lzK\BmpK~_vsgbGvmL@AQ?`Bw_[]}[NalzK\BmpK~_{\B@EFw_[]}mwvw@`","N-[2,2-Bis(diphenylphosphino)-1-methylethenyl]benzenamine","916754-28-4","C33H29NP2","501.54","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2009/dt/b903375k<NL>https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.200600367","Dalton Transactions (2009), (42), 9280-9290<NL>Chemistry - A European Journal (2006), 12(29), 7706-7716","","0 structures","DS-23","Opt, SPE, NoRh",""
"ebQX@D@HPO@SprRJJJIIJJKZJIEIK[FZIVYSO[_W@u@E@E@@@@@AT@@@@ !B?`@@T[]}mpJH@fshdd?~_{\B?`C~@@AQ@EEly{]}mww~@H`Bdd~mSp@n?g~w@k\BmpIlyvsgmwvw__x@@Bzw@k\B?`Bw_P","4-[Bis(diphenylphosphino)methyl]-N,N-dimethylbenzenamine","73187-98-1","C33H31NP2","503.55","monosubstituted C-bridge","-<NL>-","Tetrahedron (1981), 37(4), 753-9<NL>Zeitschrift fuer Chemie (1979), 19(11), 416-17","","0 structures","MS-46","Opt, SPE, NoRh",""
"ebQXHD@H``O@SprRJJJIIJJKZJXiIQ[HzIVYK_G@hxu@E@EL@A@@@@@@@@ !B[Nbw@oy?kS@@T_x@mwvH_[]}[NalzK\BmpH@Koy??g~w@`AQmwvRLFsgmwvH_[]}@Bx@Koy??g?~_{\B[N^H_[]}mwvw@`","2,2-Bis(diphenylphosphino)-N-phenylacetamide","1200401-37-1","C32H27NOP2","503.51","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2009/dt/b903375k","Dalton Transactions (2009), (42), 9280-9290","","0 structures","MS-47","Opt, SPE, NoRh",""
"ejQR@DDHDIB`O@SpddkdjYfYfYeUUV[ZaFQVqNIjjijjjfjjjjjj`@G|PRD !Bm?rH?Oy?m?tEHGh`@EFH?[_}?g~w?JRdWwj[iBAz[NbRSx`B?g~w?[_}m?tEH@T`^bAzH@AQ@EG~@Hc}bOvw?[\BWwh`^iIO","P-[[Bis(1-methylethyl)phosphino]diazomethyl]-N,N,N′,N′-tetracyclohexylphospho...","927702-99-6","C31H58N4P2","548.77","substituted bridge","https://pubs.acs.org/doi/10.1021/ja066738j","Journal of the American Chemical Society (2007), 129(4), 978-985","","0 structures","DS-57","Opt, SPE","Phosphonous diamide, P-[[bis(1-methylethyl)phosphino]diazomethyl]-N,N,N′,N′-tetracyclohexyl-"
"ejQ\@D@@`RPO@SprRJJJIIJI[QQEII[EIKRJqJZ{Yzh@h@j@@`BBjh@@@@ !BmpIlzOy?mww~@@AQkSBH_[]}mpJw@fsh[Nc~_p@nmpK~@JtpmwvH_VsgdcBw__y??g|@K`@nmpJH_YHpmwvw@k]}mpJw_[\B","N1-(3-Aminopropyl)-N3-[2,2-bis(diphenylphosphino)ethyl]-1,3-propanediamine","148763-08-0","C32H39N3P2","527.62","monosubstituted C-bridge","-","Zeitschrift fuer Anorganische und Allgemeine Chemie (1993), 619(5), 869-76","","0 structures","MS-48","Opt, SPE, NoRh",""
"ejUP@L@@O@SpBhLdbbbbRRbVtTTJRTTVrtblRVaNQ~qAIj@J@J`@J@JhJ@J@@@ !BtOzQSwn|hl^bv@RCEpvnLA\MtO{P?iEOdT~]vFRl^{rbvA\MhmcO?dcer[B{EgvDg]b]vFRlYJsOKWW@gzuM@L?~r[B}aBmr","1,1′-[2-(9-Borabicyclo[3.3.1]non-9-yl)ethylidene]bis[1,1-diphenylphosphine]","1456515-90-4","C34H37BP2","518.42","monosubstituted C-bridge","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejic.201201565<NL>https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejic.201300482","European Journal of Inorganic Chemistry (2013), 2013(18), 3155-3166<NL>European Journal of Inorganic Chemistry (2013), 2013(26), 4574-4584","","BESMUJ (W), PIBBAF, PIBBEJ (Mn)","MS-49","Opt, SPE, NoRh",""
"ejYPDD@AlPO@SprRJJJIIJJKZJJHiIKXgQJsIXDzEyFh@h@h@@H@B@h@@@@ !B?g|@?indbGvw_PJw@hazHG?~?g?~_pC~@Oz[iHc|_[]}bK]}@ha_AWh`bOw~@@Jw_?y??indfzRH?H`B_[]}bGh`?`A??ovw","Phosphine, [(2,4-dimethoxyphenyl)methylene]bis[diphenyl-","73188-00-8","C33H30O2P2","520.54","monosubstituted C-bridge","-<NL>-","Tetrahedron (1981), 37(4), 753-9<NL>Zeitschrift fuer Chemie (1979), 19(11), 416-17","","0 structures","MS-50","Opt, SPE, NoRh",""
"ejYPDD@Na`O@SprRJJJIIJI[QQPiKKZEKRJqIYx{{Dfh@h@j@@X@`@@@@@@ !B?g|@Kk_|bOvw?VsgdcC~@K_}?g?~_p@n@BxSzJRdm?rw?YHp_uFRL@T`H@W~@K_}D~`SzJRdiJRw?IHpH@Vw?_x@m?rw@ox@","Phenyl 3,3-bis(diphenylphosphino)propanoate","2243981-27-1","C33H28O2P2","518.52","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c<NL>","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446<NL>","","0 structures","MS-51","Opt, SPE, NoRh",""
"ejYR@DDJAIE@O@cpheSldbbRbRTTlTTTRRRRVvXxVaNQ^qAIjfjZjjjjjjjjZh@ADEA@ !BbGwOsSF@HGhEWrnDwzYzHJR[AU~?L\wP_XbH@`C~AU|BbG?~?`BH_PJH@k]_AZR[_Xc}bHc|b@H@?`C~AU|EWw?~bOtBmzR[","Phosphonous diamide, N,N,N′,N′-tetracyclohexyl-P-[diazo(2,5-dihydro-3,4-dimet...","250723-38-7","C31H54N4P2","544.74","substituted bridge","https://www.sciencedirect.com/science/article/abs/pii/S138716090088545X?via%3Dihub","Comptes Rendus de l'Academie des Sciences, Serie IIc: Chimie (1999), 2(5-6), 351-357","","0 structures","DS-58","Opt, SPE","Phosphonous diamide, N,N,N′,N′-tetracyclohexyl-P-[diazo(2,5-dihydro-3,4-dimethyl-1H-phosphol-1-yl)methyl]-"
"ejYX@D@@`O@SprRJJJIIJI[QQEIJKZJGRJqJY{[yDfh@d@i@@`@@H`@@@@ !B@B{~_{\B[N^RLK]}bGw~@K]}`Bx@Koy??g~H@aOhmwvRLHa}bGw~@IHp_uFw@h`Bb@HSzAOhmww~@Ox@_uFw@oy?m?rH?Ox@","N-[2,2-Bis(diphenylphosphino)ethenylidene]-2,6-dimethylbenzenamine","283172-43-0","C34H29NP2","513.55","monosubstituted","https://pubs.rsc.org/en/content/articlelanding/2011/cc/c0cc05025c<NL>https://onlinelibrary.wiley.com/doi/10.1002/(SICI)1521-3773(20000515)39:10<1821::AID-ANIE1821>3.0.CO;2-H","Chemical Communications (Cambridge, United Kingdom) (2011), 47(14), 4270-4272<NL>Angewandte Chemie, International Edition (2000), 39(10), 1821-1823","","0 structures","DS-24","Opt, SPE, NoRh",""
"ejYX@D@@`O@SprRJJJIIJJKZJJiIQ[H{QJsI[xxEGFh@d@j`@H@@@H@@@@ !B@B{~_{\BdcAly{_}bOw~@K_}@Bx@Koy??g}lzK\BmpK~_vsgbOvmL@AQ?`Bw?[_}[NalzK_|mpK~_{\B@EFw?[_}m?vw@k_}","N-[2,2-Bis(diphenylphosphino)-1-methylethenyl]-4-methylbenzenamine","916754-29-5","C34H31NP2","515.57","monosubstituted C-bridge","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.200600367","Chemistry - A European Journal (2006), 12(29), 7706-7716","","0 structures","DS-25","Opt, SPE, NoRh",""
"ejYX@D@H@OCcpJHaDaHRDQHQHRDrBRHrHqDGHb`PpisqKkzFjB`Bhb@Jj`bjH@@@ !BejWUWk[jjZTQJ`TyfiXEQiZeu_zUciVNzhdQJk[jjZWJ?jfe_{hENU{UNj[U?iZZrozViRzjeRyQe^jIzhfiiSjfiYZiiYji","2,3,3a,8a-Tetrahydro-1-phenyl-N-[2,4,6-tris(1,1-dimethylethyl)phenyl]phosphol...","590375-05-6","C34H45NP2","529.68","monosubstituted C-bridge","https://onlinelibrary.wiley.com/doi/10.1002/anie.200250772","Angewandte Chemie, International Edition (2003), 42(19), 2176-2179","","0 structures","MS-52","Opt, SPE, NoRh",""
"ejYXHD@An`O@SprRJJJIIJI[QQPiKKZEKRJqIYx{{Dfh@h@j@@X@`@@@@@@ !B?g|@Kk_|bOvw?VsgdcC~@K_}?g?~_p@n@BxSzJRdm?rw?YHp_uFRL@T`H@W~@K_}D~`SzJRdiJRw?IHpH@Vw?_x@m?rw@ox@","3,3-Bis(diphenylphosphino)-N-phenylpropanamide","2243981-30-6","C33H29NOP2","517.54","monosubstituted C-bridge","https://pubs.acs.org/doi/10.1021/acs.organomet.0c00662<NL>https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c<NL>","Organometallics (2021), 40(2), 148-155<NL>Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446<NL>","","OJUZEB (Rh)","MS-53","Opt, SPE, NoRh",""
"ej]PDD@HD@OAcpRiUfYUYf{UUWbQrhKiZDyE{DDfjh@h@@@@@@@B@@@`Ih@ !BDh|RlG?~pMg@qgvHN@pvosasMh@BbG?~dKVPmYBJdHi}b@C~?[_}bCZ?N@pv`Cas@h`BbG?~_?zPmYBudHjPb`C~_X`xCCas","","1791455-16-7","C33H24O2P2","514.49","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2015/cc/c5cc03517a","Chemical Communications (Cambridge, United Kingdom) (2015), 51(50), 10206-10209","","0 structures","MB-122","Opt, SPE, NoRh",""
"ej]PDD@HD@OAcpRiUfYUYf{UUWbQrhKiZDyE{DDfjh@h@j`Bj@JBB`@`Ih@ !BDh|RlG?~pMg@qgvHN@pvosasMh@BbG?~dKVPmYBJdHi}b@C~?[_}bCZ?N@pv`Cas@h`BbG?~_?zPmYBudHjPb`C~_X`xCCas","","1791455-18-9","C33H36O2P2","526.59","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2015/cc/c5cc03517a","Chemical Communications (Cambridge, United Kingdom) (2015), 51(50), 10206-10209","","0 structures","MB-123","Opt, SPE, NoRh",""
"efUP@D@@O@SprRJJJIIJJKZJJHiIIK[ZIVYGHoX`du@D`ET@@D@A@P@@@@ !Bb@J[i@U_bGw~@Gh`WpVdfu|Eb@JH@indfzP@?oy?_[^[iOx@WpTBb@JwbGvw_PJw_?y_APC~@O{~_?y?_[]}mynd@k^w_W?~WpT","1,1′-(2-Phenyl-1-hexen-1-ylidene)bis[1,1-diphenylphosphine]","940912-90-3","C36H34P2","528.60","monosubstituted","https://pubs.acs.org/doi/10.1021/ol0706657","Organic Letters (2007), 9(10), 2031-2033","","0 structures","DS-26","Opt, SPE, NoRh",""
"efUX@D@DPOAcprRJJIIQQQZIIKIQ[YHzJQMWCOK_PxuATE@@D@@@@QP@@@@ !B?`Bw?Xc}m?rH?Oy?mpJH@ox@?`Bw?Xc}?`Bw?_x@bOvH@oy?mpK~_{_|mpJH?H`Bm?vw?Xc}m?vw?Xc}mpK~_?y?m?rw?_x@m?t","4-[Bis[phenyl(phenylmethyl)phosphino]methyl]-N,N-dimethylbenzenamine","73187-99-2","C35H35NP2","531.61","monosubstituted C-bridge","-<NL>-","Tetrahedron (1981), 37(4), 753-9<NL>Zeitschrift fuer Chemie (1979), 19(11), 416-17","","0 structures","MS-54","Opt, SPE, NoRh",""
"efUXHD@AjPO@SprRJJJIIJJKZJJHiIQ[YzIVYKPgHoXu@E@E@@A@@TAP@@@@ !B?g~H@k\BmwvH_Xa}?`C~@In[?g?~_x`Bb@IlzIndWwizWxa}?`BmL@AQ^bA_AYY@fyn[fvsh[Nb[iIndA{PPJgi_@EE_AV}UA{P","2-[[2-[Bis(diphenylphosphino)methyl]phenyl]methylamino]ethanol","202286-51-9","C34H33NOP2","533.58","monosubstituted C-bridge","https://pubs.acs.org/doi/10.1021/om970550e","Organometallics (1998), 17(5), 839-845","","0 structures","MS-55","Opt, SPE, NoRh",""
"efUXHD@An`O@SprRJJJIIJI[QQPiKQ[RiZQVIK_G@dtu@E@EP@C@E@@@@@@@ !Bb@HSzOy??`BH_W}QdcBH_[]}b@JH@aOhD~c~_p@nmpJH_YHpbGvw_VsgdcC~@K]}?g?~_p@n@Bzw@oy?mwvRLOx@mwvw@k\Bmwt","3,3-Bis(diphenylphosphino)-N-methyl-N-phenylpropanamide","2243981-29-3","C34H31NOP2","531.56","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c<NL>","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446<NL>","","OFEHIT (free ligand)","MS-56","Opt, SPE, NoRh",""
"enUP@D@@O@SpJHaHRDRDRDRDRLRLaHFDRDQHqHtb\JnaAIj@H`bbb`@``hh@@@@ !BV`J_?nZUzZir?nfUzZir?nZja?{fj`w~VotM?fp@Vour?nfjzYWijnfU\oyr?nfjzYUr?nZjVowfjnZUD?{fe^fjzYUr?gK~zYWij`","1,1′-Methylenebis[1,1-bis[2-(1-methylethyl)phenyl]phosphine]","255885-13-3","C37H46P2","552.71","methylene bridge","https://pubs.acs.org/doi/10.1021/om800139v<NL>https://pubs.acs.org/doi/10.1021/om800139v<NL>https://pubs.rsc.org/en/content/articlelanding/2001/cc/b010063n","Organometallics (2008), 27(13), 3196-3202<NL>Organometallics (2004), 23(26), 6077-6079<NL>PMSE Preprints (2002), 86, 314-315<NL>Chemical Communications (Cambridge, United Kingdom) (2001), (8), 699-700<NL>Patent<NL>Patent","","QEXKEJ (Pt)","MB-124","Opt, SPE",""
"enUP@D@@O@SprRJJIQQQQQVqQIQQQPvkSKpj{FDfh@bHbh@BbHbB`@@@ !ByCK~ttw^rag~LmTYrafiblif?dwJYmUf?dwUYoyMrfY?KiZ@?cKJFZfJNYWr]fUzrf[~STw^QjiMwiZu[kHZAVzr}PdyeVUzS]ynl`","Phosphine, methylenebis[bis(2,4,6-trimethylphenyl)-","86280-10-6","C37H46P2","552.71","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/om00006a026<NL>","Patent<NL>Patent<NL>Organometallics (1995), 14(6), 2781-9<NL>Chemische Berichte (1983), 116(5), 1947-54","","MAZTOZ (Pd)","MB-125","Opt, SPE, NoRh",""
"enUR@D@ICMg`O@SpJHaHRDRDRDRDaLaLaHFDRDRDrDtr\ZnqAYj@JBBjJ@BBBb`@@@@ !B_?{zDeXeJRTiVbeZjozj?oime_zU?ow~UeiVV`JHTmliIZk~JUhiVbdejozj?beZJRVj?jhSUeiVVow~UbUVIRdejoxiVbdeJUjj?`","2,2′,2′′,2′′′-(Methylenediphosphinidyne)tetrakis[N,N-dimethylbenzenamine]","503819-24-7","C33H42N4P2","556.66","methylene bridge","","10 references","","IDELIN, NUZYAJ (Ru)","MB-126","Opt, SPE",""
"enWR@F@BCFa`@cCptBKOBhHzBLdTTTrTRrTrTTRRRJRRRHhT\|BfVvNn^qIiYjPhIbjBYBj@@B@@@@@ !B`W}`Vn\SxAUlyyHp@k]??`@n@Bz@L\wO_XbRLJ[_aBln@G?~bGw~_ta|~sQSFEMg?g~H_Sg@le@_YQ|Z[NbmLK\BmwvmLFshmwvw@`","Benzothiazole, 2,2′,2′′,2′′′-(methylenediphosphinidyne)tetrakis-","114687-34-2","C29H18N4P2S4","612.69","methylene bridge","https://www.sciencedirect.com/science/article/abs/pii/0022328X88800147?via%3Dihub","Journal of Organometallic Chemistry (1988), 338(3), C31-C34","","SOXFAM (Rh, binuclear)","MB-127","Opt, SPE, NoRh",""
"en[P@D@@O@SprRJJJQIIQQQ[QQIHiI[XriqjKH{ExdFeEfh@j@J@@@@@@@@`@@@ !BzZir?aM?C_{fjnZjyiUoeDkIA\Wijnfj\oyr?cWIWgHaCTkVyiTM?nZjyiTaC^UFyTYJunhyzcgie^fUM\durUyrWgIJu`w~yTYJu`","1,1′-(9H-Fluoren-9-ylidene)bis[1,1-diphenylphosphine]","2058052-85-8","C37H28P2","534.57","disubstituted","https://link.springer.com/article/10.1007/s11172-023-3919-6<NL>https://pubs.acs.org/doi/10.1021/acs.organomet.0c00684<NL>https://pubs.rsc.org/en/content/articlelanding/2018/dt/c8dt00998h<NL>https://pubs.acs.org/doi/10.1021/acs.inorgchem.6b02423","Russian Chemical Bulletin (2023), 72(6), 1438-1453<NL>Patent<NL>Organometallics (2021), 40(2), 98-101<NL>Dalton Transactions (2018), 47(35), 12046-12050<NL>Inorganic Chemistry (2017), 56(3), 1027-1030","","0 structures","DS-27","Opt",""
"en[P@D@@O@cprRJQQQQQQIIQQII[IIZzsqJxiy[DxdFeEfjjjh@jjh@jjBj`h@@ !BDw?ijgK~[yQJrPWEC_{fjnZjyiTurUyrHPuJunZUC_{ijnfj\oyr?bDMyT[eQdkVzcgjN^fUzYWfjnZUM\durUyrWgIJu`w~yTYJu`","","2058052-87-0","C37H52P2","558.76","disubstituted","https://pubs.acs.org/doi/10.1021/acs.inorgchem.6b02423","Inorganic Chemistry (2017), 56(3), 1027-1030","","TATFAY (Rh)","DS-28","Opt",""
"en]P@N@@O@SpndOiCFPidFYCIHhhhddhemEEBdeEEcM]HkDehSdPRZ`BPBh@@@BHBJ@@@@ !B?g|@Kk_|m?vH?YHp[N_~@K_}?g?~_p@n@BxSzJRdm?rH?VsgdcA?TPT`H@Vw?_x@D~`SzJRdiJS~_{_|b@Jw@g}QH@Vw?_x@?`Bw@`","","2145451-34-7","C32H21F5P2","562.45","monosubstituted","https://pubs.rsc.org/en/content/articlelanding/2017/dt/c7dt01693j","Dalton Transactions (2017), 46(29), 9382-9393","","0 structures","DS-29","Opt, NoRh",""
"en]X@D@@`O@SprRJJJIIJJKZJIEIJI[IGQJsKZFyDefh@d@j`@J@@`B@@@@@ !B?`A?TXa}b@Jw@juOD~c~_x`B?`C~@G}Q_uDSyxa}bGw~@K\BD~a?KiIO?g~H@h`Bb@HSyqOgbGvH__x@bGw~@IIOb@JH@h`Bb@JH_P","N-[1-[Bis(diphenylphosphino)methylene]pentyl]benzenamine","916754-30-8","C36H35NP2","543.62","monosubstituted C-bridge","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.200600367","Chemistry - A European Journal (2006), 12(29), 7706-7716","","0 structures","DS-30","Opt, SPE",""
"en]X@D@N`O@SprRJJJIIJI[QQPiIJKZIORJqIXDzFefh@h@j@@X@`B`@@@@@ !B?g|@Kk_|m?vH?YHp[N_~@K_}?g?~_p@n@BxSzJRdm?rH?VsgdcA?TPT`H@W~@K_}D~`SzJRdiJRw@k_|?g}?TR@Em?w~@K_}m?w~_p","N-[3,3-Bis(diphenylphosphino)-1-phenylpropylidene]-2-propanamine","2243981-37-3","C36H35NP2","543.62","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446","","0 structures","MS-57","Opt, SPE, NoRh",""
"en]X@D@N`O@SprRJJJIIJI[QQPiIJKZMKRJqIXDzFefh@h@i@@h@j@@@@@@@ !BzALBbG?~TW|pd`C~_Xa}mwvHzAOhDpJH@hazWt~m_?xpdgvHH@V[fuE?yvq}mwvH^e}zWt~mSzu??g?~@hb[f~]l_Xa}mw?~_?y}mp","N-[3,3-Bis(diphenylphosphino)-1-(1-methylethyl)-1-propen-1-yl]benzenamine","2243981-36-2","C36H35NP2","543.62","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c<NL>","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446","","0 structures","MS-58","Opt, SPE, NoRh",""
"en]X@D@N`O@SprRJJJIIJI[QQPiIJKZMKRJqIXDzFefh@h@j@@X@j@@@@@@@ !B@hbdfw?~@Oy}b@U_HGi}mwvH@h`BbJR[iImzWt~m_?y}bBAzH@V[fuE?yvq}mwvH^e}zWt~mSzu??g?~@hb[f~]l_[]}bG?~_?y}b@","N-[3,3-Bis(diphenylphosphino)-1-(1-methylethyl)propylidene]benzenamine","2243981-35-1","C36H35NP2","543.62","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446","","0 structures","MS-59","Opt, SPE",""
"en]XHD@An`O@SprRJJJIIJI[QQPiKKZFJKRJqIYx{xefh@h@j@@X@`@b@@@@@ !BD~bdiOy?dcA?TPT`H@VH?[_}D~`SzJRdiJS~_rAzm?q?TR@EbOvw?Wh`iIo~@K_}?g?~_rAzHGjw?K_}iInw?_x@m?s~_{\Bb@K~@@","N-(2,6-Dimethylphenyl)-3,3-bis(diphenylphosphino)propanamide","2569202-34-0","C35H33NOP2","545.59","monosubstituted C-bridge","https://pubs.acs.org/doi/10.1021/acs.organomet.0c00662","Organometallics (2021), 40(2), 148-155","","0 structures","MS-60","Opt, SPE, NoRh",""
